date,amount,category,note,account,type
2019-04-10,-10.0,Food & Drinks,,Cash,Expenses
2019-04-10,-10.0,Food & Drinks,,Cash,Expenses
2019-04-19,-8.5,Food & Drinks,,Cash,Expenses
2019-04-19,-8.5,Food & Drinks,,Cash,Expenses
2019-05-12,-10.0,Food & Drinks,,Cash,Expenses
2019-05-12,-10.0,Food & Drinks,,Cash,Expenses
2019-07-02,-20.0,Food & Drinks,,Cash,Expenses
2019-07-02,-20.0,Food & Drinks,,Cash,Expenses
2019-07-04,-10.0,Food & Drinks,,Cash,Expenses
2019-07-04,-10.0,Food & Drinks,,Cash,Expenses
2019-07-30,-10.0,Food & Drinks,,Cash,Expenses
2019-07-30,-10.0,Food & Drinks,,Cash,Expenses
2019-08-16,-10.0,Food & Drinks,,Cash,Expenses
2019-08-16,-10.0,Food & Drinks,,Cash,Expenses
2019-08-26,-10.0,"Bar, cafe",,Cash,Expenses
2019-08-26,-10.0,"Bar, cafe",,Cash,Expenses
2019-08-29,-10.0,Food & Drinks,,Cash,Expenses
2019-08-29,-10.0,Food & Drinks,,Cash,Expenses
2019-09-14,-60.0,"Holiday, trips, hotels",,Cash,Expenses
2019-09-14,-60.0,"Holiday, trips, hotels",,Cash,Expenses
2019-12-18,-12.0,Food & Drinks,,Cash,Expenses
2019-12-18,-12.0,Food & Drinks,,Cash,Expenses
2019-12-19,-3.0,Parking,,Cash,Expenses
2019-12-19,-3.0,Parking,,Cash,Expenses
2020-01-31,-10.0,Food & Drinks,,Cash,Expenses
2020-01-31,-10.0,Food & Drinks,,Cash,Expenses
2020-02-23,-20.0,"Bar, cafe",,Cash,Expenses
2020-02-23,-20.0,"Bar, cafe",,Cash,Expenses
2020-05-17,-30.0,Food & Drinks,,Cash,Expenses
2020-05-17,-30.0,Food & Drinks,,Cash,Expenses
2020-05-17,-20.0,"Holiday, trips, hotels",,Cash,Expenses
2020-05-17,-20.0,"Holiday, trips, hotels",,Cash,Expenses
2020-07-09,-50.0,"Active sport, fitness",Диди,Cash,Expenses
2020-07-09,-50.0,"Active sport, fitness",,Cash,Expenses
2020-10-07,-10.0,Food & Drinks,,Cash,Expenses
2020-10-07,-10.0,Food & Drinks,,Cash,Expenses
2020-10-20,-12.0,Food & Drinks,,Cash,Expenses
2020-10-20,-12.0,Food & Drinks,,Cash,Expenses
2020-11-07,-14.0,Food & Drinks,,Cash,Expenses
2020-11-07,-14.0,Food & Drinks,,Cash,Expenses
2020-12-20,-20.0,Food & Drinks,,Cash,Expenses
2020-12-20,-20.0,Food & Drinks,,Cash,Expenses
2021-01-17,-30.0,"Holiday, trips, hotels",,Cash,Expenses
2021-01-17,-30.0,"Holiday, trips, hotels",,Cash,Expenses
2021-03-05,-10.0,Food & Drinks,,Cash,Expenses
2021-03-05,-10.0,Food & Drinks,,Cash,Expenses
2021-05-16,-20.0,Food & Drinks,,Cash,Expenses
2021-05-16,-20.0,Food & Drinks,,Cash,Expenses
2021-05-23,-15.0,Food & Drinks,,Cash,Expenses
2021-05-23,-15.0,Food & Drinks,,Cash,Expenses
2021-06-12,-50.0,"Holiday, trips, hotels",,Cash,Expenses
