date,amount,category,note,type,account,payment_type
2021-02-02,-3.0,Parking,,Expenses,Cash,CASH
2021-02-15,-40.0,Fuel,,Expenses,Cash,CASH
2021-02-16,-35.0,"Wellness, beauty",,Expenses,Cash,CASH
2021-02-18,-20.0,Groceries,,Expenses,Cash,CASH
2021-02-20,-10.0,Groceries,,Expenses,Cash,CASH
2021-02-20,-30.0,"Alcohol, tobacco",,Expenses,Cash,CASH
2021-03-09,-12.0,Food & Drinks,,Expenses,Cash,CASH
2021-03-11,-117.0,Clothes & shoes,,Expenses,Cash,CASH
2021-03-12,-13.0,Food & Drinks,,Expenses,Cash,CASH
2021-03-12,-14.0,Groceries,,Expenses,Cash,CASH
2021-03-14,-13.0,Groceries,,Expenses,Cash,CASH
2021-03-20,-20.0,Food & Drinks,,Expenses,Cash,CASH
2021-03-28,-60.0,Fuel,,Expenses,Cash,CASH
2021-03-30,-50.0,Food & Drinks,,Expenses,Cash,CASH
2021-04-04,-25.0,Groceries,,Expenses,Cash,CASH
2021-04-06,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2021-04-07,-10.0,Food & Drinks,,Expenses,Cash,CASH
2021-07-01,-600.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2021-07-01,-550.0,Rent,,Expenses,Cash,CASH
2021-07-13,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2021-07-14,-30.0,Fuel,,Expenses,Cash,CASH
2021-07-19,-200.0,Free time,Палатки,Expenses,Cash,CASH
2021-07-22,-600.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2021-07-23,-96.0,Vehicle insurance,Винетка,Expenses,Cash,CASH
2021-07-25,-90.0,Fuel,,Expenses,Cash,CASH
2021-07-26,-200.0,Life events,,Expenses,Cash,CASH
2021-07-31,-967.0,Missing,,Expenses,Cash,CASH
2021-08-01,-550.0,Rent,,Expenses,Cash,CASH
2021-08-01,-200.0,Missing,,Expenses,Cash,CASH
2021-08-01,-60.0,"Energy, utilities",,Expenses,Cash,CASH
2021-08-01,-16.5,Food & Drinks,,Expenses,Cash,CASH
2021-08-01,-160.0,"Phone, cell phone",Сърбия Роуминг,Expenses,Cash,CASH
2021-08-02,-310.0,Clothes & shoes,,Expenses,Cash,CASH
2021-08-02,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2021-08-16,-404.0,"Holiday, trips, hotels",Provance,Expenses,Cash,CASH
2021-08-18,-54.0,Food & Drinks,Leo's,Expenses,Cash,CASH
